Label,Target,Elevation,Slope,Aspect,MeanCurv,CasCurv,GaussCurv,ProfCurv,TanCurv,TRI,VRM,VRM7,Distance_Stream500,Distance_Stream500_Elev,Distance_Stream2k,Distance_Stream2k_Elev,MS_B1,MS_B2,MS_B3,MS_B4,CIg,EVI,GNDVI,IronOxide,MSAVI2,MTVI2,NDVI,NDWI,SR,VARI,SuperGroup_Transvaal,GeoGroup_Chuniespoort,GeoGroup_Pretoria,Formation_Eccles,Formation_KarooDolerite,Formation_Lyttelton,Formation_MonteChristo,Formation_Oaktree,Formation_Rooihoogte,Formation_TimeballHill,Chert_presence,Diamictite_presence,Dolomite_presence,Limestone_presence,Mudrock_presence,Quartzite_presence,Shale_presence,Distance_Faults,Distance_Dikes,Cluster
Background,0,1645.4573975,5.491282,227.4880676,-0.0001194,0.0008981,-8e-07,-0.0006029,0.0003641,2.365242,1.95e-05,0.0001076,376.430603,378.668396,500.5487061,503.5781555,411,748,1167,2207,1.9505347,0.4243166,0.4937394,2.839416,0.4711715,0.7801604,0.3082395,-0.4937394,1.891174,-0.2785904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2243.0036621,3067.7678223,
Background,0,1513.8918457,1.2538142,358.3164062,-0.0015702,0.0016012,2.4e-06,-0.0017379,-0.0014024,0.6600517,0.0001152,8.08e-05,35.7770882,36.3056488,260.5724487,261.4251709,499,870,1412,2771,2.1850574,0.4529094,0.5221093,2.8296592,0.4903916,0.8082088,0.3248864,-0.5221093,1.9624646,-0.303982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2126.0939941,1912.6159668,
Background,0,1505.3562012,2.0389099,131.4987488,-0.0006239,0.000952,-1e-07,-0.00134,9.23e-05,0.8703009,4.92e-05,0.0001195,13.3416643,13.6841135,26.1725044,26.1631432,506,886,1398,3013,2.4006772,0.5307611,0.5455245,2.7628458,0.5359694,0.8010937,0.3661301,-0.5455245,2.1552217,-0.287964,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,3043.9306641,3252.9121094,
Background,0,1500.8681641,0.8409695,314.7857056,-0.0010006,0.0010065,1e-06,-0.0008978,-0.0011035,0.4041452,2.46e-05,1.61e-05,27.2029419,27.595871,68.242218,68.8142624,497,911,1600,2911,2.1953897,0.3731003,0.5232862,3.219316,0.4503182,0.8491865,0.2906229,-0.5232862,1.819375,-0.3421053,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,3073.5141602,3152.2578125,
Background,0,1526.8012695,2.1703668,164.8648682,0.0010393,0.0016686,-6e-07,0.0015582,0.0005204,0.9608723,1.76e-05,0.0001472,93.1343079,93.2708664,93.1343079,93.2708664,432,770,1167,2407,2.1259739,0.5024311,0.515266,2.7013888,0.5151122,0.7729799,0.3469502,-0.515266,2.0625536,-0.2637874,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,3332.1850586,3713.4626465,
Background,0,1508.7441406,1.1000619,256.2177429,-0.0008394,0.0011608,1e-07,-0.0004074,-0.0012714,0.5118503,6.46e-05,0.0001122,21.0,21.0020161,18.2482872,18.4575119,460,818,1225,2765,2.3801956,0.5775577,0.5433994,2.6630435,0.5569174,0.7773288,0.3859649,-0.5433994,2.2571428,-0.2571068,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,3545.3813477,3651.8928223,
Background,0,1526.4794922,1.3368299,25.4067154,0.0003016,0.0006278,-2e-07,0.0008519,-0.0002487,0.5790471,1.27e-05,4.36e-05,205.2437592,205.9407501,437.8173218,439.0579529,477,787,1286,2583,2.2820837,0.4823354,0.5329377,2.6960168,0.5020809,0.8142172,0.3352287,-0.5329377,2.0085537,-0.3126566,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,3727.671875,3565.1225586,
Background,0,1545.7432861,1.7095425,290.1611023,0.0004983,0.0005537,2e-07,0.0003643,0.0006322,0.7225015,8.2e-06,2.68e-05,62.9364777,62.9738121,265.4524536,266.3462524,503,914,1439,2940,2.2166302,0.4809356,0.5256876,2.8608351,0.5105017,0.794377,0.3427723,-0.5256876,2.0430856,-0.2837838,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,4301.4360352,4419.2558594,
Background,0,1530.3109131,2.4942355,341.2556763,8.67e-05,0.0008477,-7e-07,0.0008605,-0.0006871,1.056091,1.51e-05,3.56e-05,26.2488098,26.4638844,534.3294678,535.0516357,470,886,1342,2913,2.2878103,0.5278189,0.5335615,2.8553193,0.5392639,0.7789529,0.3692127,-0.5335615,2.1706409,-0.2593857,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,3865.7155762,3783.9111328,
Background,0,1522.1517334,2.3392584,359.2651672,0.0004073,0.0004306,1e-07,0.0004999,0.0003147,1.017029,2.6e-06,1.23e-05,47.3814316,47.6098709,316.309967,316.5244751,454,809,1299,2546,2.1470952,0.4494666,0.5177347,2.8612335,0.4897388,0.8017458,0.3243173,-0.5177347,1.9599692,-0.2962515,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,3699.0302734,3490.8178711,
